"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_1212695"	"4.48e-08"	"6.16e-11"	"38.9258974"	"15.565928"	"5.96047923"	"Gpr84"	"G protein-coupled receptor 84"
"ILMN_2735615"	"5.18e-08"	"7.46e-11"	"38.0601422"	"15.410438"	"5.57936668"	"Isg20"	"interferon-stimulated protein"
"ILMN_1242457"	"5.48e-08"	"8.23e-11"	"37.6267175"	"15.330552"	"7.29275942"	"Fpr2"	"formyl peptide receptor 2"
"ILMN_3122961"	"5.56e-08"	"8.70e-11"	"37.3831177"	"15.28504"	"6.04085204"	"Gbp2"	"guanylate binding protein 2"
"ILMN_2991255"	"5.68e-08"	"9.25e-11"	"37.1139678"	"15.23423"	"5.87099713"	"Gpr84"	"G protein-coupled receptor 84"
"ILMN_1239219"	"5.80e-08"	"9.81e-11"	"36.8579689"	"15.185388"	"6.62448742"	"Mx2"	"MX dynamin-like GTPase 2"
"ILMN_1244513"	"6.62e-08"	"1.26e-10"	"35.7964736"	"14.977337"	"6.54872679"	"Gbp3"	"guanylate binding protein 3"
"ILMN_1250438"	"6.62e-08"	"1.35e-10"	"35.4878203"	"14.915121"	"5.87935646"	"Marcksl1"	"MARCKS-like 1"
"ILMN_2793464"	"6.62e-08"	"1.37e-10"	"35.4300314"	"14.903384"	"6.7754687"	"Oasl1"	"2'-5' oligoadenylate synthetase-like 1"
"ILMN_1227573"	"6.62e-08"	"1.37e-10"	"35.4272"	"14.902808"	"6.04310957"	"Irf7"	"interferon regulatory factor 7"
"ILMN_1240726"	"6.62e-08"	"1.39e-10"	"35.3845328"	"14.894124"	"6.27142449"	"Mmp14"	"matrix metallopeptidase 14 (membrane-inserted)"
"ILMN_2733778"	"6.62e-08"	"1.39e-10"	"35.3738687"	"14.891951"	"6.21984954"	"Il4i1"	"interleukin 4 induced 1"
"ILMN_2721571"	"6.62e-08"	"1.41e-10"	"35.3204742"	"14.881056"	"5.46006498"	"Slamf1"	"signaling lymphocytic activation molecule family member 1"
"ILMN_2632665"	"7.73e-08"	"1.69e-10"	"34.56951"	"14.725237"	"5.48696611"	"Cav1"	"caveolin 1, caveolae protein"
"ILMN_2503129"	"7.81e-08"	"1.76e-10"	"34.4125728"	"14.692051"	"6.37671981"	"Cd40"	"CD40 antigen"
"ILMN_1230143"	"7.83e-08"	"1.81e-10"	"34.2911432"	"14.666224"	"5.39249015"	"Batf2"	"basic leucine zipper transcription factor, ATF-like 2"
"ILMN_3047389"	"8.19e-08"	"1.95e-10"	"33.994384"	"14.602547"	"7.27878623"	"Gbp2"	"guanylate binding protein 2"
"ILMN_3160750"	"8.19e-08"	"2.00e-10"	"33.8988056"	"14.581868"	"5.64816042"	"AA467197"	"expressed sequence AA467197"
"ILMN_2811154"	"8.33e-08"	"2.09e-10"	"33.7315658"	"14.545483"	"5.38175769"	"Cxcl2"	"chemokine (C-X-C motif) ligand 2"
"ILMN_2783223"	"9.18e-08"	"2.36e-10"	"33.2524029"	"14.439794"	"5.21715483"	"Iigp1b"	"interferon inducible GTPase 1B"
"ILMN_2652857"	"9.26e-08"	"2.43e-10"	"33.1241252"	"14.411131"	"5.01614432"	"Ifi47"	"interferon gamma inducible protein 47"
"ILMN_1249336"	"1.03e-07"	"2.78e-10"	"32.6117509"	"14.295061"	"5.27287857"	"Mmp13"	"matrix metallopeptidase 13"
"ILMN_2663230"	"1.04e-07"	"2.85e-10"	"32.5118431"	"14.272129"	"5.62949616"	"Slco3a1"	"solute carrier organic anion transporter family, member 3a1"
"ILMN_2663930"	"1.04e-07"	"2.93e-10"	"32.4142083"	"14.249622"	"5.02915391"	"Slfn1"	"schlafen 1"
"ILMN_1230853"	"1.04e-07"	"2.99e-10"	"32.3269509"	"14.229428"	"5.17958732"	"Cfb"	"complement factor B"
"ILMN_2827780"	"1.05e-07"	"3.08e-10"	"32.2235642"	"14.205401"	"5.34374219"	"Phf11d"	"PHD finger protein 11D"
"ILMN_2696492"	"1.06e-07"	"3.18e-10"	"32.1010873"	"14.176799"	"6.46541357"	"Phf11a"	"PHD finger protein 11A"
"ILMN_1226639"	"1.07e-07"	"3.27e-10"	"31.9957115"	"14.152068"	"5.03519319"	""	""
"ILMN_1243601"	"1.31e-07"	"4.10e-10"	"31.1545664"	"13.950519"	"5.2187317"	"Il6"	"interleukin 6"
"ILMN_1246609"	"1.31e-07"	"4.19e-10"	"31.0687452"	"13.929533"	"4.8316238"	"Rasgrp1"	"RAS guanyl releasing protein 1"
"ILMN_2618918"	"1.39e-07"	"4.52e-10"	"30.8000322"	"13.863308"	"4.93932433"	"Slc2a6"	"solute carrier family 2 (facilitated glucose transporter), member 6"
"ILMN_1237114"	"1.41e-07"	"4.73e-10"	"-30.636355"	"13.82258"	"-4.54840436"	"Tmem154"	"transmembrane protein 154"
"ILMN_3115162"	"1.41e-07"	"4.79e-10"	"30.5856481"	"13.809903"	"4.67496694"	"Jak2"	"Janus kinase 2"
"ILMN_3142803"	"1.41e-07"	"4.90e-10"	"30.5086172"	"13.790589"	"9.33056227"	"Cxcl10"	"chemokine (C-X-C motif) ligand 10"
"ILMN_2959291"	"1.41e-07"	"4.94e-10"	"30.4740571"	"13.781902"	"5.32716478"	"Upp1"	"uridine phosphorylase 1"
"ILMN_1235735"	"1.42e-07"	"5.05e-10"	"30.3981972"	"13.762787"	"4.63155545"	"Slco3a1"	"solute carrier organic anion transporter family, member 3a1"
"ILMN_2752624"	"1.53e-07"	"5.57e-10"	"30.0473601"	"13.673535"	"5.4193375"	"Ccrl2"	"chemokine (C-C motif) receptor-like 2"
"ILMN_2761900"	"1.81e-07"	"6.79e-10"	"29.3568505"	"13.493698"	"4.68473839"	"Batf"	"basic leucine zipper transcription factor, ATF-like"
"ILMN_2711172"	"1.81e-07"	"6.81e-10"	"29.3434203"	"13.490144"	"4.59702999"	"Irgm1"	"immunity-related GTPase family M member 1"
"ILMN_2755008"	"1.88e-07"	"7.18e-10"	"29.1619382"	"13.441906"	"5.34998852"	"Nfkbiz"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta"
"ILMN_2771766"	"1.94e-07"	"7.51e-10"	"29.0072161"	"13.400464"	"4.91988704"	"Ccl12"	"chemokine (C-C motif) ligand 12"
"ILMN_2696491"	"1.95e-07"	"7.70e-10"	"28.9238555"	"13.378014"	"6.40387981"	"Phf11a"	"PHD finger protein 11A"
"ILMN_2617162"	"2.09e-07"	"8.41e-10"	"28.6228246"	"13.296223"	"5.48899995"	"Marcksl1"	"MARCKS-like 1"
"ILMN_2762380"	"2.09e-07"	"8.49e-10"	"28.5935623"	"13.288212"	"4.61567266"	"Enpp4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ILMN_2742152"	"2.11e-07"	"8.85e-10"	"-28.4537569"	"13.249787"	"-4.58236818"	"Gadd45a"	"growth arrest and DNA-damage-inducible 45 alpha"
"ILMN_1215632"	"2.11e-07"	"8.86e-10"	"28.4480045"	"13.2482"	"5.90395221"	"Marcksl1"	"MARCKS-like 1"
"ILMN_1245579"	"2.18e-07"	"9.30e-10"	"28.2882322"	"13.20397"	"4.61338155"	"Jak2"	"Janus kinase 2"
"ILMN_2887630"	"2.25e-07"	"9.71e-10"	"28.1420499"	"13.163213"	"4.18728458"	"Fabp3"	"fatty acid binding protein 3, muscle and heart"
"ILMN_1226800"	"2.29e-07"	"1.00e-09"	"28.0309831"	"13.132061"	"4.1481556"	"Cd274"	"CD274 antigen"
"ILMN_1230586"	"2.31e-07"	"1.03e-09"	"27.9605905"	"13.112233"	"6.21430201"	"Traf1"	"TNF receptor-associated factor 1"
"ILMN_3161805"	"2.35e-07"	"1.06e-09"	"27.8638538"	"13.084879"	"5.09353894"	"Ccl12"	"chemokine (C-C motif) ligand 12"
"ILMN_2680076"	"2.41e-07"	"1.11e-09"	"27.7131433"	"13.042014"	"5.96163445"	"Ifi205"	"interferon activated gene 205"
"ILMN_3151243"	"2.41e-07"	"1.12e-09"	"27.6821801"	"13.03317"	"6.00417859"	"BC094916"	"cDNA sequence BC094916"
"ILMN_2932787"	"2.42e-07"	"1.14e-09"	"27.6215892"	"13.015826"	"4.69032207"	"Helz2"	"helicase with zinc finger 2, transcriptional coactivator"
"ILMN_2778655"	"2.42e-07"	"1.15e-09"	"27.5811465"	"13.004222"	"4.09724863"	"Vcam1"	"vascular cell adhesion molecule 1"
"ILMN_3083163"	"2.42e-07"	"1.16e-09"	"27.5475555"	"12.994567"	"5.49688265"	"Cp"	"ceruloplasmin"
"ILMN_2654554"	"2.42e-07"	"1.18e-09"	"27.5051136"	"12.982346"	"5.03214548"	"Fgl2"	"fibrinogen-like protein 2"
"ILMN_2747923"	"2.48e-07"	"1.23e-09"	"-27.3805575"	"12.946339"	"-5.06697663"	"Slc40a1"	"solute carrier family 40 (iron-regulated transporter), member 1"
"ILMN_2902979"	"2.49e-07"	"1.25e-09"	"27.3229499"	"12.929614"	"3.96401611"	"Fas"	"Fas (TNF receptor superfamily member 6)"
"ILMN_2649068"	"2.57e-07"	"1.30e-09"	"27.1883344"	"12.890353"	"4.42060711"	"Irf1"	"interferon regulatory factor 1"
"ILMN_1227502"	"2.75e-07"	"1.41e-09"	"26.9294867"	"12.81415"	"4.18450602"	"Il15ra"	"interleukin 15 receptor, alpha chain"
"ILMN_2717366"	"2.79e-07"	"1.45e-09"	"26.8499577"	"12.790547"	"5.95852355"	"Oasl1"	"2'-5' oligoadenylate synthetase-like 1"
"ILMN_2780424"	"2.82e-07"	"1.49e-09"	"-26.7548313"	"12.762198"	"-4.07140368"	"Zfp36l1"	"zinc finger protein 36, C3H type-like 1"
"ILMN_2593554"	"2.82e-07"	"1.50e-09"	"26.7388962"	"12.757437"	"5.12821651"	"Igtp"	"interferon gamma induced GTPase"
"ILMN_1238886"	"2.84e-07"	"1.53e-09"	"26.6794153"	"12.739631"	"4.27630709"	"Ccl8"	"chemokine (C-C motif) ligand 8"
"ILMN_2595597"	"2.90e-07"	"1.58e-09"	"-26.5709544"	"12.707032"	"-4.05565587"	"Anln"	"anillin, actin binding protein"
"ILMN_2757807"	"3.03e-07"	"1.68e-09"	"-26.3763423"	"12.648112"	"-4.3085499"	"Fam214a"	"family with sequence similarity 214, member A"
"ILMN_2688888"	"3.03e-07"	"1.69e-09"	"26.3644821"	"12.644503"	"4.18781564"	"Gca"	"grancalcin"
"ILMN_2712075"	"3.03e-07"	"1.71e-09"	"26.3279113"	"12.633363"	"4.45861408"	"Lcn2"	"lipocalin 2"
"ILMN_3136744"	"3.06e-07"	"1.76e-09"	"-26.2388763"	"12.606158"	"-4.3375313"	"Sesn1"	"sestrin 1"
"ILMN_1249863"	"3.06e-07"	"1.76e-09"	"26.2350308"	"12.60498"	"3.92287376"	"Slamf1"	"signaling lymphocytic activation molecule family member 1"
"ILMN_2808485"	"3.08e-07"	"1.79e-09"	"26.1784145"	"12.587617"	"4.29768803"	"Gbp10"	"guanylate-binding protein 10"
"ILMN_1249759"	"3.11e-07"	"1.83e-09"	"26.1130743"	"12.567519"	"5.27813413"	"Il15ra"	"interleukin 15 receptor, alpha chain"
"ILMN_2702303"	"3.15e-07"	"1.89e-09"	"26.0136547"	"12.536815"	"5.13504907"	"Ch25h"	"cholesterol 25-hydroxylase"
"ILMN_1220603"	"3.15e-07"	"1.89e-09"	"26.0084943"	"12.535217"	"4.40295426"	"Il15ra"	"interleukin 15 receptor, alpha chain"
"ILMN_2589785"	"3.18e-07"	"1.93e-09"	"25.9547585"	"12.518556"	"4.46325496"	"Cnn3"	"calponin 3, acidic"
"ILMN_1256257"	"3.18e-07"	"1.95e-09"	"25.9219142"	"12.508351"	"6.93721239"	"Isg15"	"ISG15 ubiquitin-like modifier"
"ILMN_2896601"	"3.31e-07"	"2.09e-09"	"25.7143662"	"12.443484"	"3.98208615"	"Icam1"	"intercellular adhesion molecule 1"
"ILMN_2947568"	"3.31e-07"	"2.09e-09"	"-25.7032597"	"12.439994"	"-4.07044723"	"Gadd45a"	"growth arrest and DNA-damage-inducible 45 alpha"
"ILMN_2737685"	"3.31e-07"	"2.09e-09"	"25.7031829"	"12.43997"	"4.50108092"	"Mmp13"	"matrix metallopeptidase 13"
"ILMN_1223499"	"3.38e-07"	"2.16e-09"	"25.6135996"	"12.411751"	"4.48501808"	"Nos2"	"nitric oxide synthase 2, inducible"
"ILMN_2845658"	"3.57e-07"	"2.30e-09"	"25.4138268"	"12.348375"	"4.1411906"	"BC147527"	"cDNA sequence BC147527"
"ILMN_2605602"	"3.77e-07"	"2.46e-09"	"25.2123449"	"12.283821"	"4.01891022"	"Gbp2"	"guanylate binding protein 2"
"ILMN_2672297"	"3.77e-07"	"2.48e-09"	"-25.1954067"	"12.278365"	"-3.75052476"	"Gcnt1"	"glucosaminyl (N-acetyl) transferase 1, core 2"
"ILMN_2625290"	"3.79e-07"	"2.52e-09"	"25.1419019"	"12.261099"	"4.11797576"	"Ifi35"	"interferon-induced protein 35"
"ILMN_2695412"	"3.79e-07"	"2.54e-09"	"25.1230642"	"12.25501"	"4.17737098"	"Trim30d"	"tripartite motif-containing 30D"
"ILMN_2964185"	"3.83e-07"	"2.59e-09"	"25.0655015"	"12.236366"	"6.64941284"	"H2-M2"	"histocompatibility 2, M region locus 2"
"ILMN_2811737"	"3.86e-07"	"2.63e-09"	"25.0189819"	"12.22126"	"3.6733299"	"Casp4"	"caspase 4, apoptosis-related cysteine peptidase"
"ILMN_2610234"	"3.92e-07"	"2.70e-09"	"24.9466049"	"12.197687"	"3.77766828"	"Il15"	"interleukin 15"
"ILMN_2649067"	"3.98e-07"	"2.82e-09"	"24.8097311"	"12.152876"	"4.40705048"	"Irf1"	"interferon regulatory factor 1"
"ILMN_2642239"	"3.98e-07"	"2.83e-09"	"24.8024554"	"12.150485"	"4.15390936"	"Nfkb2"	"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"
"ILMN_1219869"	"3.98e-07"	"2.84e-09"	"24.7964223"	"12.148503"	"4.7263089"	"Il15"	"interleukin 15"
"ILMN_2829594"	"3.98e-07"	"2.84e-09"	"24.794981"	"12.148029"	"4.87099428"	"Hspa1a"	"heat shock protein 1A"
"ILMN_2790373"	"4.13e-07"	"2.98e-09"	"24.6572772"	"12.102602"	"4.13159129"	"Snn"	"stannin"
"ILMN_3053593"	"4.18e-07"	"3.06e-09"	"24.5720315"	"12.074322"	"4.60994496"	"Glipr2"	"GLI pathogenesis-related 2"
"ILMN_2622671"	"4.18e-07"	"3.08e-09"	"24.5528534"	"12.067943"	"3.75552747"	"Acsl1"	"acyl-CoA synthetase long-chain family member 1"
"ILMN_2449157"	"4.18e-07"	"3.10e-09"	"24.5422151"	"12.064402"	"3.89030631"	"Tnfsf9"	"tumor necrosis factor (ligand) superfamily, member 9"
"ILMN_2722380"	"4.18e-07"	"3.11e-09"	"24.5275899"	"12.059531"	"3.91030561"	"Oasl1"	"2'-5' oligoadenylate synthetase-like 1"
"ILMN_3009243"	"4.42e-07"	"3.34e-09"	"24.3224361"	"11.99082"	"4.54587833"	"Dusp2"	"dual specificity phosphatase 2"
"ILMN_2998976"	"4.42e-07"	"3.38e-09"	"24.287262"	"11.978968"	"3.68109726"	"Lpar1"	"lysophosphatidic acid receptor 1"
"ILMN_2899863"	"4.42e-07"	"3.42e-09"	"24.2583312"	"11.969203"	"5.96945035"	"Tnf"	"tumor necrosis factor"
"ILMN_1259564"	"4.42e-07"	"3.45e-09"	"24.2265628"	"11.958465"	"3.7915326"	"Irgm2"	"immunity-related GTPase family M member 2"
"ILMN_1241610"	"4.42e-07"	"3.47e-09"	"-24.2121828"	"11.953598"	"-3.53407774"	"Adrb2"	"adrenergic receptor, beta 2"
"ILMN_3001914"	"4.42e-07"	"3.48e-09"	"24.2061531"	"11.951557"	"4.29226552"	"Nfkbia"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
"ILMN_2589865"	"4.42e-07"	"3.49e-09"	"-24.1993085"	"11.949238"	"-3.63287972"	"Cd28"	"CD28 antigen"
"ILMN_1240332"	"4.51e-07"	"3.61e-09"	"-24.1036993"	"11.91677"	"-4.07847461"	"Zdhhc14"	"zinc finger, DHHC domain containing 14"
"ILMN_1248002"	"4.51e-07"	"3.61e-09"	"-24.0968875"	"11.914451"	"-3.61373638"	"Arhgap18"	"Rho GTPase activating protein 18"
"ILMN_1247853"	"4.56e-07"	"3.68e-09"	"-24.0442286"	"11.896495"	"-3.79551722"	"Zfp36l1"	"zinc finger protein 36, C3H type-like 1"
"ILMN_3067259"	"4.58e-07"	"3.73e-09"	"24.0066873"	"11.883664"	"3.58108729"	"Ppfia3"	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
"ILMN_2908687"	"4.59e-07"	"3.76e-09"	"-23.9835083"	"11.87573"	"-5.22013646"	"Rasgrp3"	"RAS, guanyl releasing protein 3"
"ILMN_1224389"	"4.68e-07"	"3.87e-09"	"23.8998062"	"11.847"	"4.38146224"	""	""
"ILMN_1236517"	"4.68e-07"	"3.90e-09"	"23.8810289"	"11.840538"	"3.61550206"	"Il18"	"interleukin 18"
"ILMN_1234539"	"4.73e-07"	"3.96e-09"	"23.83381"	"11.82426"	"3.910537"	"Irgm1"	"immunity-related GTPase family M member 1"
"ILMN_1254655"	"4.76e-07"	"4.05e-09"	"23.7749554"	"11.803917"	"4.30988198"	"Casp4"	"caspase 4, apoptosis-related cysteine peptidase"
"ILMN_2678580"	"4.76e-07"	"4.08e-09"	"23.7537926"	"11.796586"	"4.45303551"	"Cers6"	"ceramide synthase 6"
"ILMN_1224336"	"4.76e-07"	"4.08e-09"	"23.7531529"	"11.796365"	"3.58477212"	"Spsb1"	"splA/ryanodine receptor domain and SOCS box containing 1"
"ILMN_1230157"	"4.81e-07"	"4.16e-09"	"23.7008855"	"11.778226"	"4.29678699"	"Rnd3"	"Rho family GTPase 3"
"ILMN_1213393"	"4.87e-07"	"4.23e-09"	"-23.6490943"	"11.760205"	"-3.58778011"	"Cd300lb"	"CD300 molecule like family member B"
"ILMN_1233172"	"4.89e-07"	"4.28e-09"	"23.6180029"	"11.749363"	"3.87453728"	"Pou3f1"	"POU domain, class 3, transcription factor 1"
"ILMN_2603081"	"4.92e-07"	"4.34e-09"	"23.5815241"	"11.736621"	"3.82531083"	"Nt5c3"	"5'-nucleotidase, cytosolic III"
"ILMN_2705166"	"5.06e-07"	"4.53e-09"	"-23.462708"	"11.694951"	"-4.36846202"	"St6gal1"	"beta galactoside alpha 2,6 sialyltransferase 1"
"ILMN_2684848"	"5.06e-07"	"4.54e-09"	"23.4565706"	"11.692791"	"5.00571895"	"Phf11d"	"PHD finger protein 11D"
"ILMN_1256299"	"5.06e-07"	"4.56e-09"	"-23.4426728"	"11.687899"	"-3.79869566"	"Gcnt1"	"glucosaminyl (N-acetyl) transferase 1, core 2"
"ILMN_2436146"	"5.09e-07"	"4.63e-09"	"23.399196"	"11.672571"	"3.47027356"	"Tnfsf10"	"tumor necrosis factor (ligand) superfamily, member 10"
"ILMN_2599782"	"5.09e-07"	"4.65e-09"	"23.3863648"	"11.668041"	"3.8774423"	"Irf1"	"interferon regulatory factor 1"
"ILMN_2702141"	"5.13e-07"	"4.72e-09"	"23.3451282"	"11.653461"	"4.01674174"	"Mefv"	"Mediterranean fever"
"ILMN_2688912"	"5.22e-07"	"4.83e-09"	"23.2808551"	"11.630675"	"4.12168094"	"F10"	"coagulation factor X"
"ILMN_2595857"	"5.55e-07"	"5.22e-09"	"-23.0699692"	"11.555373"	"-3.56206295"	""	""
"ILMN_1230152"	"5.55e-07"	"5.27e-09"	"23.0438865"	"11.546002"	"3.74564443"	"Adamts4"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"
"ILMN_2925711"	"5.55e-07"	"5.27e-09"	"-23.0426715"	"11.545565"	"-4.29051406"	"Dusp6"	"dual specificity phosphatase 6"
"ILMN_2938704"	"5.55e-07"	"5.29e-09"	"23.0355167"	"11.542992"	"3.85006021"	"Il15"	"interleukin 15"
"ILMN_1221568"	"5.55e-07"	"5.34e-09"	"-23.0082409"	"11.533175"	"-4.41452625"	"Cdca7"	"cell division cycle associated 7"
"ILMN_1231439"	"5.55e-07"	"5.35e-09"	"-23.0049703"	"11.531996"	"-3.57800709"	"Aatk"	"apoptosis-associated tyrosine kinase"
"ILMN_2638491"	"5.79e-07"	"5.62e-09"	"22.8683732"	"11.48261"	"3.83746216"	"Slamf7"	"SLAM family member 7"
"ILMN_2847437"	"5.86e-07"	"5.72e-09"	"22.8190973"	"11.464707"	"3.40280124"	"Scimp"	"SLP adaptor and CSK interacting membrane protein"
"ILMN_1242406"	"5.94e-07"	"5.83e-09"	"22.7684039"	"11.446241"	"3.85045462"	"Dusp2"	"dual specificity phosphatase 2"
"ILMN_3059476"	"5.94e-07"	"5.88e-09"	"-22.7477298"	"11.438696"	"-3.53440865"	"Sesn1"	"sestrin 1"
"ILMN_1219978"	"5.95e-07"	"5.93e-09"	"-22.7243539"	"11.430154"	"-3.49044551"	"Appl2"	"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"
"ILMN_2900653"	"5.95e-07"	"5.96e-09"	"22.7112848"	"11.425375"	"3.83753165"	"Gadd45b"	"growth arrest and DNA-damage-inducible 45 beta"
"ILMN_1235042"	"5.96e-07"	"6.00e-09"	"22.6908426"	"11.417892"	"3.55057751"	"Gpr85"	"G protein-coupled receptor 85"
"ILMN_1220101"	"5.96e-07"	"6.05e-09"	"-22.6716571"	"11.410861"	"-3.4836138"	"Gpr183"	"G protein-coupled receptor 183"
"ILMN_1242474"	"6.02e-07"	"6.15e-09"	"-22.6276948"	"11.394725"	"-3.64633145"	"Rab3il1"	"RAB3A interacting protein (rabin3)-like 1"
"ILMN_2860649"	"6.03e-07"	"6.19e-09"	"22.6084083"	"11.387634"	"4.50807301"	"Gbp7"	"guanylate binding protein 7"
"ILMN_2663585"	"6.04e-07"	"6.24e-09"	"22.5869515"	"11.379737"	"3.77489912"	"Jdp2"	"Jun dimerization protein 2"
"ILMN_2619707"	"6.18e-07"	"6.43e-09"	"-22.508805"	"11.350899"	"-3.36687234"	"Slco2b1"	"solute carrier organic anion transporter family, member 2b1"
"ILMN_1247257"	"6.20e-07"	"6.48e-09"	"22.4860396"	"11.342475"	"3.58755175"	"Gpd2"	"glycerol phosphate dehydrogenase 2, mitochondrial"
"ILMN_2624100"	"6.24e-07"	"6.56e-09"	"22.4525355"	"11.33006"	"4.3760596"	"Irf1"	"interferon regulatory factor 1"
"ILMN_2628822"	"6.64e-07"	"7.02e-09"	"22.2720188"	"11.262784"	"3.41367356"	"Oas1g"	"2'-5' oligoadenylate synthetase 1G"
"ILMN_2740207"	"6.85e-07"	"7.29e-09"	"22.1730719"	"11.225633"	"3.3249862"	"Exoc3l4"	"exocyst complex component 3-like 4"
"ILMN_1238752"	"6.86e-07"	"7.34e-09"	"22.156459"	"11.219376"	"3.29162235"	"Nfkbie"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon"
"ILMN_2626939"	"7.06e-07"	"7.60e-09"	"22.0647254"	"11.184727"	"4.00970668"	"Daxx"	"Fas death domain-associated protein"
"ILMN_1240125"	"7.45e-07"	"8.10e-09"	"21.8975378"	"11.121136"	"3.33217426"	"Gnb4"	"guanine nucleotide binding protein (G protein), beta 4"
"ILMN_2981169"	"7.45e-07"	"8.11e-09"	"21.8952967"	"11.120279"	"6.22052029"	"Ifit2"	"interferon-induced protein with tetratricopeptide repeats 2"
"ILMN_2879755"	"7.66e-07"	"8.41e-09"	"21.8015026"	"11.084348"	"3.19348985"	"Tagap"	"T cell activation Rho GTPase activating protein"
"ILMN_2794526"	"7.66e-07"	"8.44e-09"	"-21.7911955"	"11.080389"	"-3.98977125"	"Cnr2"	"cannabinoid receptor 2 (macrophage)"
"ILMN_2634970"	"7.66e-07"	"8.51e-09"	"21.7723251"	"11.073134"	"3.95037816"	"Ripk2"	"receptor (TNFRSF)-interacting serine-threonine kinase 2"
"ILMN_2496288"	"7.66e-07"	"8.53e-09"	"21.7653097"	"11.070435"	"3.55969934"	"Cd40"	"CD40 antigen"
"ILMN_2599154"	"7.66e-07"	"8.59e-09"	"21.7454391"	"11.062784"	"4.56150632"	"Oasl2"	"2'-5' oligoadenylate synthetase-like 2"
"ILMN_2648913"	"7.66e-07"	"8.63e-09"	"21.7334566"	"11.058167"	"4.34393663"	"Ifih1"	"interferon induced with helicase C domain 1"
